date,BTC,Gold
2016-07-16,660.76702881,
2016-07-17,679.45898438,
2016-07-18,673.10601807,1328.40002441
2016-07-19,672.86401367,1331.50000000
2016-07-20,665.68499756,1318.80004883
2016-07-21,665.01202393,1330.50000000
2016-07-22,650.61901855,1323.09997559
2016-07-23,655.55603027,
2016-07-24,661.28497314,
2016-07-25,654.09698486,1319.30004883
2016-07-26,651.78399658,1320.69995117
2016-07-27,654.35198975,1326.59997559
2016-07-28,655.03497314,1332.30004883
2016-07-29,656.99200439,1349.00000000
2016-07-30,655.04699707,
2016-07-31,624.68103027,
2016-08-01,606.27197266,1351.40002441
2016-08-02,547.46502686,1364.40002441
2016-08-03,566.35498047,1356.09997559
2016-08-04,578.28900146,1358.80004883
2016-08-05,575.04302979,1336.40002441
2016-08-06,587.77801514,
2016-08-07,592.69000244,
2016-08-08,591.05401611,1333.40002441
2016-08-09,587.80102539,1339.00000000
2016-08-10,592.10302734,1344.30004883
2016-08-11,589.11999512,1342.50000000
2016-08-12,587.55902100,1335.80004883
2016-08-13,585.58801270,
2016-08-14,570.47302246,
2016-08-15,567.23999023,1340.30004883
2016-08-16,577.43902588,1350.50000000
2016-08-17,573.21600342,1342.69995117
2016-08-18,574.31799316,1351.19995117
2016-08-19,575.63000488,1340.40002441
2016-08-20,581.69702148,
2016-08-21,581.30798340,
2016-08-22,586.75299072,1337.69995117
2016-08-23,583.41497803,1340.59997559
2016-08-24,580.18200684,1324.40002441
2016-08-25,577.76098633,1320.09997559
2016-08-26,579.65100098,1321.50000000
2016-08-27,569.94702148,
2016-08-28,573.91198730,
2016-08-29,574.10699463,1322.90002441
2016-08-30,577.50299072,1311.69995117
2016-08-31,575.47198486,1306.90002441
2016-09-01,572.30297852,1312.19995117
2016-09-02,575.53698730,1322.09997559
2016-09-03,598.21197510,
2016-09-04,608.63397217,
2016-09-05,606.59002686,
2016-09-06,610.43597412,1349.40002441
2016-09-07,614.54400635,1344.30004883
2016-09-08,626.31597900,1336.80004883
2016-09-09,622.86102295,1330.09997559
2016-09-10,623.50897217,
2016-09-11,606.71899414,
2016-09-12,608.24298096,1321.00000000
2016-09-13,609.24102783,1319.00000000
2016-09-14,610.68402100,1321.50000000
2016-09-15,607.15502930,1313.50000000
2016-09-16,606.97302246,1305.80004883
2016-09-17,605.98400879,
2016-09-18,609.87402344,
2016-09-19,609.22698975,1313.50000000
2016-09-20,608.31201172,1313.69995117
2016-09-21,597.14898682,1326.90002441
2016-09-22,596.29797363,1340.40002441
2016-09-23,602.84197998,1337.19995117
2016-09-24,602.62500000,
2016-09-25,600.82598877,
2016-09-26,608.04302979,1339.69995117
2016-09-27,606.16601562,1325.90002441
2016-09-28,604.72802734,1319.40002441
2016-09-29,605.69299316,1321.69995117
2016-09-30,609.73498535,1313.30004883
2016-10-01,613.98297119,
2016-10-02,610.89202881,
2016-10-03,612.13299561,1309.00000000
2016-10-04,610.20397949,1266.30004883
2016-10-05,612.51098633,1265.19995117
2016-10-06,613.02099609,1249.80004883
2016-10-07,617.12097168,1248.90002441
2016-10-08,619.10797119,
2016-10-09,616.75201416,
2016-10-10,618.99401855,
2016-10-11,641.07202148,1253.00000000
2016-10-12,636.19201660,1251.09997559
2016-10-13,636.78601074,1255.00000000
2016-10-14,640.37799072,1253.09997559
2016-10-15,638.64599609,
2016-10-16,641.63098145,
2016-10-17,639.19299316,1254.40002441
2016-10-18,637.96002197,1260.80004883
2016-10-19,630.52001953,1267.90002441
2016-10-20,630.85699463,1265.59997559
2016-10-21,632.82800293,1265.90002441
2016-10-22,657.29400635,
2016-10-23,657.07098389,
2016-10-24,653.76098633,1262.00000000
2016-10-25,657.58801270,1271.90002441
2016-10-26,678.30401611,1264.80004883
2016-10-27,688.31298828,1267.90002441
2016-10-28,689.65100098,1275.50000000
2016-10-29,714.47900391,
2016-10-30,701.86401367,
2016-10-31,700.97198486,1271.50000000
2016-11-01,729.79302979,1286.40002441
2016-11-02,740.82897949,1306.80004883
2016-11-03,688.70001221,1302.09997559
2016-11-04,703.23498535,1303.30004883
2016-11-05,703.41802979,
2016-11-06,711.52197266,
2016-11-07,703.13098145,1278.30004883
2016-11-08,709.84802246,1273.40002441
2016-11-09,723.27301025,1272.59997559
2016-11-10,715.53399658,1265.50000000
2016-11-11,716.41101074,
2016-11-12,705.05401611,
2016-11-13,702.03100586,
2016-11-14,705.02099609,1221.19995117
2016-11-15,711.61901855,1224.00000000
2016-11-16,744.19799805,1223.40002441
2016-11-17,740.97698975,1216.50000000
2016-11-18,751.58502197,1208.50000000
2016-11-19,751.61602783,
2016-11-20,731.02600098,
2016-11-21,739.24798584,1209.59997559
2016-11-22,751.34698486,1211.00000000
2016-11-23,744.59399414,1189.09997559
2016-11-24,740.28900146,
2016-11-25,741.64898682,1178.19995117
2016-11-26,735.38201904,
2016-11-27,732.03497314,
2016-11-28,735.81298828,1190.59997559
2016-11-29,735.60400391,1187.90002441
2016-11-30,745.69097900,1170.80004883
2016-12-01,756.77398682,1166.90002441
2016-12-02,777.94396973,1175.09997559
2016-12-03,771.15502930,
2016-12-04,773.87200928,
2016-12-05,758.70001221,1174.00000000
2016-12-06,764.22399902,1167.59997559
2016-12-07,768.13201904,1175.00000000
2016-12-08,770.80999756,1169.80004883
2016-12-09,772.79400635,1159.40002441
2016-12-10,774.65002441,
2016-12-11,769.73101807,
2016-12-12,780.08697510,1163.50000000
2016-12-13,780.55603027,1156.69995117
2016-12-14,781.48101807,1161.30004883
2016-12-15,778.08801270,1127.80004883
2016-12-16,784.90698242,1135.30004883
2016-12-17,790.82897949,
2016-12-18,790.53002930,
2016-12-19,792.71398926,1140.50000000
2016-12-20,800.87597656,1131.50000000
2016-12-21,834.28100586,1131.09997559
2016-12-22,864.53997803,1128.80004883
2016-12-23,921.98400879,1131.90002441
2016-12-24,898.82202148,
2016-12-25,896.18298340,
2016-12-26,907.60998535,
2016-12-27,933.19799805,1137.30004883
2016-12-28,975.92102051,1139.40002441
2016-12-29,973.49700928,1156.40002441
2016-12-30,961.23797607,1150.00000000
2016-12-31,963.74298096,
2017-01-01,998.32501221,
2017-01-02,1021.75000000,
2017-01-03,1043.83996582,1160.40002441
2017-01-04,1154.72998047,1163.80004883
2017-01-05,1013.38000488,1179.69995117
2017-01-06,902.20098877,1171.90002441
2017-01-07,908.58502197,
2017-01-08,911.19897461,
2017-01-09,902.82800293,1183.50000000
2017-01-10,907.67901611,1184.19995117
2017-01-11,777.75701904,1195.59997559
2017-01-12,804.83398438,1198.90002441
2017-01-13,823.98400879,1195.30004883
2017-01-14,818.41198730,
2017-01-15,821.79797363,
2017-01-16,831.53399658,
2017-01-17,907.93798828,1212.00000000
2017-01-18,886.61798096,1211.30004883
2017-01-19,899.07299805,1200.90002441
2017-01-20,895.02600098,1204.30004883
2017-01-21,921.78900146,
2017-01-22,924.67297363,
2017-01-23,921.01202393,1215.00000000
2017-01-24,892.68701172,1210.30004883
